id,method,vf,ci95,expected,rel_err,status,iterations,achieved_tol,validation,validation_rel_err,ref_analytical,rel_err_to_ref,attempts,notes
nist_analytic_obstructed_unit_squares,adaptive,,,,,skipped,,,,,,,,disabled
hc_5p1x2p1_s0p05,adaptive,0.99813471,,0.998805,0.000671,converged,1,0.0,pass,0.000671,0.99880510,0.000671,1,"calc_time=0.023s, rc=(0.000,0.000)"
hc_5p1x2p1_s1p0,adaptive,0.70255344,,0.70274,0.000265,converged,1,0.0,pass,0.000265,0.70274393,0.000271,1,"calc_time=0.004s, rc=(0.000,0.000)"
hc_5x2_s3p8,adaptive,0.16767111,,0.17735,0.054575,converged,1,0.0,out_of_spec,0.054575,0.16752306,0.000884,1,"calc_time=0.001s, rc=(0.000,0.000)"
hc_20p02x1p05_s0p81,adaptive,0.54354560,,0.54375,0.000376,converged,1,0.0,pass,0.000376,0.54375132,0.000378,1,"calc_time=0.061s, rc=(0.000,0.000)"
hc_20p02x1p05_s1p8,adaptive,0.27924911,,0.27931,0.000218,converged,1,0.0,pass,0.000218,0.27930803,0.000211,1,"calc_time=0.017s, rc=(0.000,0.000)"
hc_21x1_s3p67,adaptive,0.13282800,,0.13285,0.000166,converged,1,0.0,pass,0.000166,0.13284540,0.000131,1,"calc_time=0.007s, rc=(0.000,0.000)"
future_offset_dx0p5,adaptive,,,,,skipped,,,,,,,,disabled
future_small_rotation_5deg,adaptive,,,,,skipped,,,,,,,,disabled
